time,COMPEMNT,,
5.25,6.62236,53.12236,53.12236
5.26,6.62236,53.12236,53.12236
5.27,6.62236,53.12236,53.12236
5.28,6.62236,53.12236,53.12236
5.29,6.62236,53.12236,53.12236
5.3,6.62236,53.12236,53.12236
5.31,6.68951,53.18951,53.18951
5.32,6.68951,53.18951,53.18951
5.33,6.68951,53.18951,53.18951
5.34,6.68951,53.18951,53.18951
5.35,6.68951,53.18951,53.18951
5.36,6.68951,53.18951,53.18951
5.37,6.68951,53.18951,53.18951
5.38,6.68951,53.18951,53.18951
5.39,6.68951,53.18951,53.18951
5.4,6.68951,53.18951,53.18951
5.41,6.5493,53.0493,53.0493
5.42,6.5493,53.0493,53.0493
5.43,6.5493,53.0493,53.0493
5.44,6.5493,53.0493,53.0493
5.45,6.5493,53.0493,53.0493
5.46,6.5493,53.0493,53.0493
5.47,6.5493,53.0493,53.0493
5.48,6.5493,53.0493,53.0493
5.49,6.5493,53.0493,53.0493
5.5,6.5493,53.0493,53.0493
5.51,6.59616,53.09616,53.09616
5.52,6.59616,53.09616,53.09616
5.53,6.59616,53.09616,53.09616
5.54,6.59616,53.09616,53.09616
5.55,6.59616,53.09616,53.09616
5.56,6.59616,53.09616,53.09616
5.57,6.59616,53.09616,53.09616
5.58,6.59616,53.09616,53.09616
5.59,6.59616,53.09616,53.09616
5.6,6.59616,53.09616,53.09616
5.61,6.6375,53.1375,53.1375
5.62,6.6375,53.1375,53.1375
5.63,6.6375,53.1375,53.1375
5.64,6.6375,53.1375,53.1375
5.65,6.6375,53.1375,53.1375
5.66,6.6375,53.1375,53.1375
5.67,6.6375,53.1375,53.1375
5.68,6.6375,53.1375,53.1375
5.69,6.6375,53.1375,53.1375
5.7,6.6375,53.1375,53.1375
5.71,6.6405,53.1405,53.1405
5.72,6.6405,53.1405,53.1405
5.73,6.6405,53.1405,53.1405
5.74,6.6405,53.1405,53.1405
5.75,6.6405,53.1405,53.1405
5.76,6.6405,53.1405,53.1405
